Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kralik, L., Senkerik, R., Jasek, R.","56725614000;23975048900;9737162700;","Integrated security system management and incident management from the perspective of organizational structure",2015,"2015 International Conference on Logistics, Informatics and Service Science, LISS 2015",,,"7369766","","",,,"10.1109/LISS.2015.7369766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971619879&doi=10.1109%2fLISS.2015.7369766&partnerID=40&md5=4b6d593076bf1c67f4aed35e0274642c",Conference Paper,"Final","",Scopus,2-s2.0-84971619879
"Senkerik, R., Pluhacek, M., Kominkova Oplatkova, Z., Davendra, D.","23975048900;55445026800;15043128400;55881468800;","On the parameter settings for the chaotic dynamics embedded differential evolution",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,,"7257053","1410","1417",,12,"10.1109/CEC.2015.7257053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963621161&doi=10.1109%2fCEC.2015.7257053&partnerID=40&md5=c1c8a5c91d8622161239f10439e9b76d",Conference Paper,"Final","",Scopus,2-s2.0-84963621161
"Jašek, R., Králík, L., Popelka, M.","9737162700;56725614000;57224289148;","ITIL® and information security",2015,"AIP Conference Proceedings","1648",,"550020","","",,1,"10.1063/1.4912775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939650030&doi=10.1063%2f1.4912775&partnerID=40&md5=53b13d00c714935e625ab65f9a9cf52f",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84939650030
"Jašek, R., Králík, L., Nožička, J.","9737162700;56725614000;56725455400;","ITIL® - General overview",2015,"AIP Conference Proceedings","1648",,"550021","","",,,"10.1063/1.4912776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939649399&doi=10.1063%2f1.4912776&partnerID=40&md5=98dcd1e2a7e2c2aa7b86ef61f26044d1",Conference Paper,"Final","",Scopus,2-s2.0-84939649399
"Kolarik, M., Jasek, R., Oplatkova, Z.K.","57203913329;9737162700;15043128400;","Maximizing vector distances using differential evolution - Relation to data redundancy",2015,"AIP Conference Proceedings","1648",,"550019","","",,,"10.1063/1.4912774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939647515&doi=10.1063%2f1.4912774&partnerID=40&md5=2fbf9339beb64eeb6ce6eb18c9fad223",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84939647515
"Jasek, R.","9737162700;","Security Deficiencies in the architecture and overview of Android and iOS mobile operating systems",2015,"Proceedings of the 10th International Conference on Cyber Warfare and Security, ICCWS 2015",,,,"153","161",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969242667&partnerID=40&md5=1e1c03befe3e81e86449ce97b65f1782",Conference Paper,"Final","",Scopus,2-s2.0-84969242667
"Malanik, D.","54416150000;","The ARM based network sniffer and bot inside the wide computer network",2015,"Proceedings of the 10th International Conference on Cyber Warfare and Security, ICCWS 2015",,,,"188","196",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969221141&partnerID=40&md5=5c3380c3ea25f03659f58ddd234d0f34",Conference Paper,"Final","",Scopus,2-s2.0-84969221141
"Senkerik, R., Pluhacek, M., Zelinka, I., Davendra, D., Oplatkova, Z.K., Jasek, R.","23975048900;55445026800;15043309500;55881468800;15043128400;9737162700;","On the tuning of complex dynamics embedded into differential evolution",2015,"Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","9119",,,"389","399",,1,"10.1007/978-3-319-19324-3_36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958536616&doi=10.1007%2f978-3-319-19324-3_36&partnerID=40&md5=ac1de2e881433f80bf764e7dd7dbf5b9",Conference Paper,"Final","",Scopus,2-s2.0-84958536616
"Krbecek, M., Schauer, F.","55695489300;35581870700;","Remote experiment on time domain phenomena In RLC circuits and their characterization",2015,"Turkish Online Journal of Educational Technology","2015",,,"479","487",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957536207&partnerID=40&md5=cbfe0b7ce2ce21ea088e56468680bf6e",Article,"Final","",Scopus,2-s2.0-84957536207
"Janků, P., Došek, R., Dulík, T.","57191158960;56532094400;25960789900;","Implementation and optimization of stereo matching algorithm on ARM processors",2015,"Advances in Intelligent Systems and Computing","348",,,"183","188",,,"10.1007/978-3-319-18503-3_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944449674&doi=10.1007%2f978-3-319-18503-3_18&partnerID=40&md5=ae94b0ceae7588e57bbc091fd535056a",Conference Paper,"Final","",Scopus,2-s2.0-84944449674
