Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kozak, V., Barinka, K.","57212482451;57192836252;","The measurement of product placement",2016,"Economic Annals-XXI","161","9-10",,"66","70",,1,"10.21003/ea.V161-15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008334897&doi=10.21003%2fea.V161-15&partnerID=40&md5=fa98842503919e2575921ffa7ae61255",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85008334897
"Špiláková, P., Schauer, F., Dostál, P.","56134106000;35581870700;23501156300;","Mathematical model of Faradays’ law and its embedded simulation in remote experiment",2016,"Turkish Online Journal of Educational Technology","2016","DecemberSpecialIssue",,"81","87",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006981629&partnerID=40&md5=78c280444a7e344998d2e8fba7972763",Article,"Final","",Scopus,2-s2.0-85006981629
"Krbecek, M., Schauer, F.","55695489300;35581870700;","Optimization of remote laboratories for mobile devices",2016,"Proceedings of 2016 International Conference on Interactive Mobile Communication Technologies and Learning, IMCL 2016",,,"7753759","1","2",,3,"10.1109/IMCTL.2016.7753759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007047082&doi=10.1109%2fIMCTL.2016.7753759&partnerID=40&md5=f0a0b28a93bc8601ea1186eb790db728",Conference Paper,"Final","",Scopus,2-s2.0-85007047082
"Senkerik, R., Viktorin, A., Pluhacek, M., Janostik, J., Davendra, D.","23975048900;57189030395;55445026800;56695144100;55881468800;","On the influence of different randomization and complex network analysis for differential evolution",2016,"2016 IEEE Congress on Evolutionary Computation, CEC 2016",,,"7744213","3346","3353",,11,"10.1109/CEC.2016.7744213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008249074&doi=10.1109%2fCEC.2016.7744213&partnerID=40&md5=3a2c63a52c82470dd4e10b51c94b8a81",Conference Paper,"Final","",Scopus,2-s2.0-85008249074
"Kralik, L., Senkerik, R., Jasek, R.","56725614000;23975048900;9737162700;","Comparison of MCDM methods with users' evaluation",2016,"Iberian Conference on Information Systems and Technologies, CISTI","2016-July",,"7521387","","",,10,"10.1109/CISTI.2016.7521387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982161443&doi=10.1109%2fCISTI.2016.7521387&partnerID=40&md5=e26cfe8e135b46a426ffab275e71763f",Conference Paper,"Final","",Scopus,2-s2.0-84982161443
"Sysala, T., Pospichal, M., Neumann, P.","56069459000;57224338747;57206504261;","Monitoring and control system for a smart family house controlled via programmable controller",2016,"Proceedings of the 2016 17th International Carpathian Control Conference, ICCC 2016",,,"7501187","706","710",,3,"10.1109/CarpathianCC.2016.7501187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979555087&doi=10.1109%2fCarpathianCC.2016.7501187&partnerID=40&md5=2331395e56f3845f9892624d561f3c4e",Conference Paper,"Final","",Scopus,2-s2.0-84979555087
"Kříž, P., Chramcov, B., Jemelka, M.","57202674551;36631924500;57190939934;","Using of simulation for comparison of technologies for pallets storing",2016,"AIP Conference Proceedings","1738",,"120027","","",,,"10.1063/1.4951910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984590359&doi=10.1063%2f1.4951910&partnerID=40&md5=a928cf18a6f449d3979a3072bcaba35a",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984590359
"Jašek, R., Dvořák, J., Janková, M., Sedláček, M.","9737162700;57213450689;56021970600;56950329800;","Possibilities of identifying cyber attack in noisy space of n-dimensional abstract system",2016,"AIP Conference Proceedings","1738",,"120017","","",,,"10.1063/1.4951900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984559335&doi=10.1063%2f1.4951900&partnerID=40&md5=e32e62c8f9fdae0af161902f6813ca01",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984559335
"Vogeltanz, T.","56085394900;","Performance analysis of mini-propellers based on FlightGear",2016,"AIP Conference Proceedings","1738",,"120019","","",,,"10.1063/1.4951902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984548263&doi=10.1063%2f1.4951902&partnerID=40&md5=8882db181b46e8aa0bc928936db434c3",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984548263
"Zacek, P., Jasek, R., Malanik, D.","56820003800;9737162700;54416150000;","Possibilities and testing of CPRNG in block cipher mode of operation PM-DC-LM",2016,"AIP Conference Proceedings","1738",,"120029","","",,1,"10.1063/1.4951912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984539820&doi=10.1063%2f1.4951912&partnerID=40&md5=7ca0968d2856578dbc74cb68336144e8",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984539820
"Kralik, L., Senkerik, R., Jasek, R.","56725614000;23975048900;9737162700;","Model for comprehensive approach to security management",2016,"International Journal of Systems Assurance Engineering and Management","7","2",,"129","137",,1,"10.1007/s13198-016-0420-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964762452&doi=10.1007%2fs13198-016-0420-8&partnerID=40&md5=93d9f2d11f116d4d43271ef5eb503420",Article,"Final","",Scopus,2-s2.0-84964762452
"Senkerik, R., Pluhacek, M., Viktorin, A., Oplatkova, Z.K.","23975048900;55445026800;57189030395;15043128400;","On the simulation of complex chaotic dynamics for chaos based optimization",2016,"Proceedings - 30th European Conference on Modelling and Simulation, ECMS 2016",,,,"258","264",,1,"10.7148/2016-0258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978708855&doi=10.7148%2f2016-0258&partnerID=40&md5=5c7b89e6cb21a1c14338ba30cfb89b5f",Conference Paper,"Final","",Scopus,2-s2.0-84978708855
"Davendra, D., Zelinka, I., Pluhacek, M., Senkerik, R.","55881468800;15043309500;55445026800;23975048900;","DSOMA—Discrete Self Organising Migrating Algorithm",2016,"Studies in Computational Intelligence","626",,,"51","63",,16,"10.1007/978-3-319-28161-2_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957548762&doi=10.1007%2f978-3-319-28161-2_2&partnerID=40&md5=799a3acfaeddb2770e9252fae7155e16",Book Chapter,"Final","",Scopus,2-s2.0-84957548762
