Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kralik, L., Malanik, D., Jasek, R., Matysek, M.","56725614000;54416150000;9737162700;8707476200;","Assessing Level of Resilience for Cybersecurity",2019,"Proceedings of the 2019 IEEE 6th Asian Conference on Defence Technology, ACDT 2019",,,"9072704","8","12",,,"10.1109/ACDT47198.2019.9072704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084646044&doi=10.1109%2fACDT47198.2019.9072704&partnerID=40&md5=71d385304ac7dd0b49c5697518d4f48e",Conference Paper,"Final","",Scopus,2-s2.0-85084646044
"Viktorin, A., Senkerik, R., Pluhacek, M., Kadavy, T., Zamuda, A.","57189030395;23975048900;55445026800;57193707951;23975217400;","Distance based parameter adaptation for Success-History based Differential Evolution",2019,"Swarm and Evolutionary Computation","50",,"100462","","",,49,"10.1016/j.swevo.2018.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057032118&doi=10.1016%2fj.swevo.2018.10.013&partnerID=40&md5=2db57dffc3394a9556aeaa4f6d23da16",Article,"Final","",Scopus,2-s2.0-85057032118
"Viktorin, A., Senkerik, R., Pluhacek, M., Kadavy, T., Zamuda, A.","57189030395;23975048900;55445026800;57193707951;23975217400;","DISH Algorithm Solving the CEC 2019 100-Digit Challenge",2019,"2019 IEEE Congress on Evolutionary Computation, CEC 2019 - Proceedings",,,"8789936","1","6",,3,"10.1109/CEC.2019.8789936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071320588&doi=10.1109%2fCEC.2019.8789936&partnerID=40&md5=82e5229deb9d44e51c0bb602011048be",Conference Paper,"Final","",Scopus,2-s2.0-85071320588
"Kadavy, T., Pluhacek, M., Senkerik, R., Viktorin, A.","57193707951;55445026800;23975048900;57189030395;","Introducing Self-Adaptive Parameters to Self-organizing Migrating Algorithm",2019,"2019 IEEE Congress on Evolutionary Computation, CEC 2019 - Proceedings",,,"8790283","2908","2914",,1,"10.1109/CEC.2019.8790283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071320172&doi=10.1109%2fCEC.2019.8790283&partnerID=40&md5=337b35647e58a1a2f2b11aca78ae21bc",Conference Paper,"Final","",Scopus,2-s2.0-85071320172
"Senkerik, R., Kadavy, T., Viktorin, A., Pluhacek, M.","23975048900;57193707951;57189030395;55445026800;","Ensemble of Strategies and Perturbation Parameter Based SOMA for Constrained Technological Design Optimization Problem",2019,"2019 IEEE Congress on Evolutionary Computation, CEC 2019 - Proceedings",,,"8790047","2872","2877",,2,"10.1109/CEC.2019.8790047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071284746&doi=10.1109%2fCEC.2019.8790047&partnerID=40&md5=2b9c10ecd6469588157dbee62564d15a",Conference Paper,"Final","",Scopus,2-s2.0-85071284746
"Kadavy, T., Pluhacek, M., Senkerik, R., Viktorin, A.","57193707951;55445026800;23975048900;57189030395;","The Ensemble of Strategies and Perturbation Parameter in Self-organizing Migrating Algorithm Solving CEC 2019 100-Digit Challenge",2019,"2019 IEEE Congress on Evolutionary Computation, CEC 2019 - Proceedings",,,"8790012","372","375",,2,"10.1109/CEC.2019.8790012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071283622&doi=10.1109%2fCEC.2019.8790012&partnerID=40&md5=b4138d9957c8568253e04c856fef84bc",Conference Paper,"Final","",Scopus,2-s2.0-85071283622
"Kazikova, A., Oplatkova, Z.K., Pluhacek, M., Senkerik, R.","57202322367;15043128400;55445026800;23975048900;","Border strategies of the bison algorithm",2019,"Proceedings - European Council for Modelling and Simulation, ECMS","33","1",,"43","49",,,"10.7148/2019-0043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068788214&doi=10.7148%2f2019-0043&partnerID=40&md5=1e4077d60699e6fa61888cd964e20521",Conference Paper,"Final","",Scopus,2-s2.0-85068788214
"Kadavy, T., Pluhacek, M., Senkerik, R., Viktorin, A.","57193707951;55445026800;23975048900;57189030395;","On the Performance Significance of Boundary Strategies for Firefly Algorithm",2019,"Proceedings of the 2018 IEEE Symposium Series on Computational Intelligence, SSCI 2018",,,"8628643","765","769",,,"10.1109/SSCI.2018.8628643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062782849&doi=10.1109%2fSSCI.2018.8628643&partnerID=40&md5=0536282399b74dc1ffb0006b597c1b9b",Conference Paper,"Final","",Scopus,2-s2.0-85062782849
"Pluhacek, M., Senkerik, R., Viktorin, A., Kadavy, T.","55445026800;23975048900;57189030395;57193707951;","Why Simple Population Restart Does Not Work in PSO",2019,"Proceedings of the 2018 IEEE Symposium Series on Computational Intelligence, SSCI 2018",,,"8628801","770","776",,,"10.1109/SSCI.2018.8628801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062772273&doi=10.1109%2fSSCI.2018.8628801&partnerID=40&md5=7feca0a28e84a55c7705309e716c63bc",Conference Paper,"Final","",Scopus,2-s2.0-85062772273
"Jemelka, M., Chramcov, B.","57190939934;36631924500;","The Simulation Study of Recursive ABC Method for Warehouse Management",2019,"Advances in Intelligent Systems and Computing","1047",,,"187","196",,,"10.1007/978-3-030-31362-3_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075616033&doi=10.1007%2f978-3-030-31362-3_19&partnerID=40&md5=619d92df140c05d135e798126a248777",Conference Paper,"Final","",Scopus,2-s2.0-85075616033
