Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Senkerik, R., Viktorin, A., Zelinka, I., Pluhacek, M., Kadavy, T., Oplatkova, Z.K., Bhateja, V., Satapathy, S.C.","23975048900;57189030395;15043309500;55445026800;57193707951;15043128400;42960891300;16643664100;","Differential evolution and deterministic chaotic series: A detailed study",2018,"Mendel","24","2",,"61","68",,3,"10.13164/mendel.2018.2.061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072033385&doi=10.13164%2fmendel.2018.2.061&partnerID=40&md5=6ef8f4b6a32f7b7e01efbb31372b20e7",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85072033385
"Pluhacek, M., Senkerik, R., Viktorin, A., Kadavy, T., Zelinka, I.","55445026800;23975048900;57189030395;57193707951;15043309500;","Chaos Driven PSO with Attractive Search Space Border Points",2018,"2018 IEEE Congress on Evolutionary Computation, CEC 2018 - Proceedings",,,"8477960","","",,3,"10.1109/CEC.2018.8477960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056286553&doi=10.1109%2fCEC.2018.8477960&partnerID=40&md5=94f54483433ca4622e58e54b9c958f77",Conference Paper,"Final","",Scopus,2-s2.0-85056286553
"Viktorin, A., Senkerik, R., Pluhacek, M., Kadavy, T.","57189030395;23975048900;55445026800;57193707951;","Cluster Occurrence in the DbL-SHADE Population",2018,"2018 IEEE Congress on Evolutionary Computation, CEC 2018 - Proceedings",,,"8477793","","",,1,"10.1109/CEC.2018.8477793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056285966&doi=10.1109%2fCEC.2018.8477793&partnerID=40&md5=5e423164af8d09cd4f118097c32f647e",Conference Paper,"Final","",Scopus,2-s2.0-85056285966
"Kovář, S., Valouch, J., Kadavý, T., Pospíšilík, M., Adámek, M.","56748157800;55495964100;57217946079;42262703900;55798748600;","Enclosure shielding effectiveness calculation using SHADE algorithm",2018,"2018 19th International Scientific Conference on Electric Power Engineering, EPE 2018 - Proceedings",,,,"1","4",,1,"10.1109/EPE.2018.8396021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050369516&doi=10.1109%2fEPE.2018.8396021&partnerID=40&md5=5c81f397f6b4a08ea6452fbd152fe181",Conference Paper,"Final","",Scopus,2-s2.0-85050369516
"Viktorin, A., Senkerik, R., Pluhacek, M., Kadavy, T.","57189030395;23975048900;55445026800;57193707951;","Clustering analysis of the population in Db_SHADE algorithm",2018,"Mendel","24","1",,"9","16",,1,"10.13164/mendel.2018.1.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072046299&doi=10.13164%2fmendel.2018.1.009&partnerID=40&md5=c1f919f768e72273ac81abb5fa0ff8f4",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85072046299
"Kazikova, A., Pluhacek, M., Senkerik, R.","57202322367;55445026800;23975048900;","Regarding the behavior of bison runners within the Bison algorithm",2018,"Mendel","24","1",,"63","70",,5,"10.13164/mendel.2018.1.063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066326306&doi=10.13164%2fmendel.2018.1.063&partnerID=40&md5=5d28aeb447671fcc9829f0821c0f20f8",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85066326306
"Pluhacek, M., Senkerik, R., Viktorin, A., Kadavy, T.","55445026800;23975048900;57189030395;57193707951;","Exploring the shortest path in PSO communication network",2018,"2017 IEEE Symposium Series on Computational Intelligence, SSCI 2017 - Proceedings","2018-January",,,"1","6",,6,"10.1109/SSCI.2017.8285187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046158789&doi=10.1109%2fSSCI.2017.8285187&partnerID=40&md5=f41ff1b01b58db27e273efe511bae3f9",Conference Paper,"Final","",Scopus,2-s2.0-85046158789
"Kadavy, T., Pluhacek, M., Viktorin, A., Senkerik, R.","57193707951;55445026800;57189030395;23975048900;","Partial population restart of firefly algorithm using complex network analysis",2018,"2017 IEEE Symposium Series on Computational Intelligence, SSCI 2017 - Proceedings","2018-January",,,"1","7",,1,"10.1109/SSCI.2017.8285418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046155457&doi=10.1109%2fSSCI.2017.8285418&partnerID=40&md5=5e249e4fc93eb0bb58c96ff68dba799b",Conference Paper,"Final","",Scopus,2-s2.0-85046155457
"Pluhacek, M., Senkerik, R., Viktorin, A., Kadavy, T.","55445026800;23975048900;57189030395;57193707951;","How chaotic sequences and generator sequencing affect the particle trajectory in PSO",2018,"2017 IEEE Symposium Series on Computational Intelligence, SSCI 2017 - Proceedings","2018-January",,,"1","8",,,"10.1109/SSCI.2017.8285422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046135961&doi=10.1109%2fSSCI.2017.8285422&partnerID=40&md5=3a8cc9e2935f1a09275bd1a96ff6a3e6",Conference Paper,"Final","",Scopus,2-s2.0-85046135961
"Senkerik, R., Viktorin, A., Pluhacek, M., Kadavy, T., Oplatkova, Z.K.","23975048900;57189030395;55445026800;57193707951;15043128400;","Performance comparison of differential evolution driving analytic programming for regression",2018,"2017 IEEE Symposium Series on Computational Intelligence, SSCI 2017 - Proceedings","2018-January",,,"1","8",,1,"10.1109/SSCI.2017.8285430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046118130&doi=10.1109%2fSSCI.2017.8285430&partnerID=40&md5=dcd5fa436bf86ce1eef381c60750f7c0",Conference Paper,"Final","",Scopus,2-s2.0-85046118130
