Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Vařacha, P.","24802510800;","Adaptive Control of Neural Network Synthesis",2017,"MATEC Web of Conferences","125",,"02061","","",,,"10.1051/matecconf/201712502061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032872990&doi=10.1051%2fmatecconf%2f201712502061&partnerID=40&md5=253dcfc9952e6801f10dcc4cb23da145",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85032872990
"Senkerik, R., Pluhacek, M., Viktorin, A.","23975048900;55445026800;57189030395;","Chaos based optimization: Implementations and possibilities",2017,"AIP Conference Proceedings","1863",,"070036","","",,,"10.1063/1.4992258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026631340&doi=10.1063%2f1.4992258&partnerID=40&md5=571a1872ed03c54b5db45d99c9c975aa",Conference Paper,"Final","",Scopus,2-s2.0-85026631340
"Lapkova, D., Adamek, M.","55799011000;55798748600;","Using information technologies in professional defence education - Classification of training with help of effective punching mass",2017,"Iberian Conference on Information Systems and Technologies, CISTI",,,"7975861","","",,2,"10.23919/CISTI.2017.7975861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027232129&doi=10.23919%2fCISTI.2017.7975861&partnerID=40&md5=00c17f0f176408f5bb2669ccc3dea3c9",Conference Paper,"Final","",Scopus,2-s2.0-85027232129
"Kadavy, T., Pluhacek, M., Viktorin, A., Senkerik, R.","57193707951;55445026800;57189030395;23975048900;","Dynamic of firework algorithm analyzed with complex network",2017,"Mendel","23","1",,"79","86",,,"10.13164/mendel.2017.1.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042265176&doi=10.13164%2fmendel.2017.1.079&partnerID=40&md5=d8dffae7c9cf7e3d55040e6cd5f0bf8b",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85042265176
"Afful-Dadzie, E., Afful-Dadzie, A., Oplatková, Z.K.","56032242300;56031462300;15043128400;","Assessing Commercial Viability of Technology Start-up Businesses in a Government Venture Capital under Intuitionistic Fuzzy Environment",2017,"International Journal of Fuzzy Systems","19","2",,"400","413",,6,"10.1007/s40815-016-0141-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016728125&doi=10.1007%2fs40815-016-0141-9&partnerID=40&md5=63012243817b37d0828866e6223379e6",Article,"Final","",Scopus,2-s2.0-85016728125
"Silhavy, R., Silhavy, P., Prokopova, Z.","42962236200;42962326100;6507962555;","Analysis and selection of a regression model for the Use Case Points method using a stepwise approach",2017,"Journal of Systems and Software","125",,,"1","14",,63,"10.1016/j.jss.2016.11.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000774224&doi=10.1016%2fj.jss.2016.11.029&partnerID=40&md5=ca89c5cdc41c4cf92f713ed96523dfd4",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85000774224
"Senkerik, R., Pluhacek, M., Viktorin, A., Oplatkova, Z.K., Kadavy, T.","23975048900;55445026800;57189030395;15043128400;57193707951;","Simulation of chaotic dynamics for chaos based optimization-an extended study",2017,"Proceedings - 31st European Conference on Modelling and Simulation, ECMS 2017",,,,"319","325",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021843026&partnerID=40&md5=965feee83461007e08e73c316bc6e1a8",Conference Paper,"Final","",Scopus,2-s2.0-85021843026
"Oplatkova, Z.K., Viktorin, A., Senkerik, R., Urbanek, T.","15043128400;57189030395;23975048900;56531645100;","Different approaches for constant estimation in analytic programming",2017,"Proceedings - 31st European Conference on Modelling and Simulation, ECMS 2017",,,,"326","332",,2,"10.7148/2017-0326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021823730&doi=10.7148%2f2017-0326&partnerID=40&md5=6c75a39c2e2e9ace7439d9bb9623f31d",Conference Paper,"Final","",Scopus,2-s2.0-85021823730
"Pluhacek, M., Senkerik, R., Viktorin, A., Kadavy, T.","55445026800;23975048900;57189030395;57193707951;","Uncovering communication density in PSO using complex network",2017,"Proceedings - 31st European Conference on Modelling and Simulation, ECMS 2017",,,,"306","312",,2,"10.7148/2017-0306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021802660&doi=10.7148%2f2017-0306&partnerID=40&md5=3ba4d07705d37de6157d36405bab8352",Conference Paper,"Final","",Scopus,2-s2.0-85021802660
"Vojtesek, J., Spacek, L., Dostal, P.","15072241800;57194100122;23501156300;","Simulation study of 1DOF hybrid adaptive control applied on isothermal continuous stirred-tank reactor",2017,"Proceedings - 31st European Conference on Modelling and Simulation, ECMS 2017",,,,"446","452",,,"10.7148/2017-0446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021797270&doi=10.7148%2f2017-0446&partnerID=40&md5=9153cc98b062c77f8cee8c74e58d7d98",Conference Paper,"Final","",Scopus,2-s2.0-85021797270
